Shortcode,Technology,Defender,Implementation,Security Function,Maturity Level,Description,CSF Category,Prerequisites,References,IPAC,Verification
DT-P-AE-M01-003, SAP ERP,Process,"
Whether your organization is running a UNIX or Windows host, systems logs should be checked on a regular basis. It is recommended to send the logs to a central location to avoid any logs that might overwritten once the buffer is full; especially in Windows hosts.

Alerts can be configured when a certain event occurs or a threshold is reached, this helps automate the review process of system logs and reduces workload from administrators. Sending logs to a central location helps to achieve setting up alerts.

", DT, 1,"
System logs:

Identifying and collecting system problems through system logs is important to enabling the system to run with good performance. Maintaining the healthiness of your system and keeping it running avoids any service disruptions that may be caused by errors.

", Anomalies and Events,,,P,- [ ] Check system logs through the SM21 transaction- [ ] Configure alerts for certain events such as rollbacks and system error messages to reactively respond and fix issues
PT-I-IP-M01-001, RFC Connections,Process,"
For all RFC connections, a uniform administrative guideline must be available; ownership and usage of the RFC connection should be clearly documented. A complete inventory must also be defined and documented for all RFC connections.

Any RFC connections that are not in use must be deleted. (Documentation should reflect the same)

", PT, 1,"
In order to properly secure the Remote Function Call (RFC) interface that is used as a communication interface between SAP systems, all RFC connections, RFC authorizations and RFC interfaces must be considered.
", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A8 Securing the SAP RFC interface/ Absicherung der SAP-RFC-Schnittstelle- SAP Security Baseline Template V2.0: 2.3.2.3",,- [ ] Determine if an RFC connection is in use through using the RFC runtime monitor transaction SRTM6 or the workload monitor transaction ST03N- [ ] Delete any RFC connections not in use- [ ] Guidelines in regards to existing RFC connections are available and up to date
file1,,Process,"> Authorization to SAP application should be regularly monitored, verified, revoked, managed, issued and audited
",, 1,"<applicability towards reducing the threat>

",,,> Operations:> Security: Accountable. Security department should be able to control and identify the implementation of access controls by the below points:> - Monitor: Logs are configured to be sent to a central log server or SIEM solution.> - Revoke: User access to be removed or disabled from a directory service or SAP application.> Audit: Responsibility. Audit department needs to make sure that access control is properly> - Monitored: Identify if access control logs are being configured on a central log system aor SIEM.> - Revoked: Identify users that have left the organization and determine whether their access has been disabled or revoked from the directory services and SAP applications.> - Issue: Compare user rights based on roles and need to know permissions defined by the operation department.,,> Operations: Consulted. Operations department defines the required access to individuals for the different SAP applications based on their job roles and based on need to know principle.> Security: Responsible. Accountable. Security department is responsible to make sure that authorization is controlled and implemented as per permissions provided by operations department.Baseline:<SAP Security Baseline 2.3.3>> Audit: Informed. Audit department to be informed about the necessary changes for their own records.
DT-P-AE-M01-007, SAP ERP,Process,"
It is recommended to regularly check the different information available through the user information system to keep your SAP system in compliance with internal policies or external regulations as well as determining any changes that have not been internally approved.

Usage:
- Show list of authorizations
- Show list of users that are assigned to critical or high classification authorizations
- Show transactions contained in specific roles
- Compare roles, users, profiles, and authorizations in a single system or across systems
- Display change documents for the authorization profile of users, security policies, and CUA settings

", DT, 1,"
User information system:

Important tool for both internal and external audit. It helps identifying anomalies in different lists found in the user information tool.
", Anomalies and Events,,- [SAP Support](https://help.sap.com/doc/saphelp_nw73ehp1/7.31.19/en-US/52/671261439b11d1896f0000e8322d00/content.htm?no_cache=true),P,
PT-A-AC-M01-001, SAP Database,Technology,"
Default SAP IDs are not to be allowed to access the SAP database. Removing other IDs and users from accessing the database allows the principle of least privilege, separation of duties, and need to know.

Check the transaction log file for unneeded accounts. The transaction file can be viewed by executing R3trans -d.

Users that are allowed to access the database are limited to only the tables that allows them to complete their job.
", PT, 1,"
Access to SAP databases must be protected from unauthorized access and misuse.  
"," Identity Management, Authentication and Access Control",,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A7 Securing the SAP database/ Absicherung der SAP-Datenbanken",A,"- [ ] SAPR3, SAP <SID>, or SAPABAP1 disabled to access the database- [ ] Users not required to access the database are removed- [ ] Data manipulation only given to SAP support- [ ] Users that are required to access the database are not to be given permissions to Table USR\*, Table T000, SAPUSER, RFCDES, PA\*, HCL\*, and any other tables not required to get their job done"
DT-P-AE-M01-006, SAP ERP,Process,"
The below configuration steps are required to be in place to monitor and configure different read access logs.

1. Identify what type of data to log through the read access logging
2. Mention a purpose for logging the data; helps identify regulatory data
3. Define the channels to monitor
4. Define the log domains of the different channels
5. Define a condition for the application to log the data

", DT, 1,"
Read access logging:

An important tool used to monitor and record any read access to classified or sensitive data found in SAP systems. The tool helps when investigating a security breach or information leak.  

", Anomalies and Events,,,P,- [ ] Configure and monitor the read access logging through the SRALMANAGER transaction
PT-I-IP-M01-004, RFC Connections,Technology,"

", PT, 1,"

", Information Protection Processes and Procedures,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A7 Securing the SAP database/ Absicherung der SAP-Datenbanken",,
DT-P-AE-M01-002, SAP ERP,Technology,"
Activating security audit logs depends on which logs your organization wants to collect. Available logs are shown below:

- Successful and unsuccessful dialog logon attempts
- Successful and unsuccessful RFC logon attempts
- RFCs to function modules
- Changes to user master records
- Successful and unsuccessful transaction starts
- Successful and unsuccessful report starts
- Changes to the audit configuration
- Activation and deactivation of the HTTP security session management or instances in which HTTP security sections were hard-exited
- File downloads
- Access to the file system that coincides with the valid logical paths and file names specified in the system  (particularly helpful in an analysis phase to determine where access to files takes place before activating the actual validation)
- ICF recorder entries or changes to the administration settings
- The use of digital signatures performed by the system
- Viruses found by the Virus Scan Interface
- Errors that occur in the Virus Scan Interface
- Unsuccessful password checks for a specific user in a specific client

Personal identifiable information can be found in certain security audit logs, make sure to follow any data protection regulations your organizations falls under when storing personal information.

Alerts can be configured when a certain event occurs or a threshold is reached, this helps automate the review process of security audit logs and reduces workload from administrators. Sending logs to a central location helps to achieve setting up alerts.
", DT, 1,"
Security audit logs:

Identifying and collecting security-related activities is important for evidence collection following a security incident or event. The security audit log might contain sensitive data that needs to be stored and encrypted properly.  
", Anomalies and Events,,,P,- [ ] Configure alerts for important events to reactively respond to security events
DT-T-M01, SAP ERP,Technology,"

", DT, 1,"

", Anomalies and Events,,"- BSI APP.4.2 SAP-ERP-System, APP.4.2.A26 Protection of the customer's own code in the SAP ERP system (S) / Schutz des kundeneigenen Codes im SAP-ERP-System (S)- CIS CSC 3, 11- COBIT 5 BAI01.06, BAI06.01- ISA 62443-2-1:2009 4.3.4.3.2, 4.3.4.3.3- ISA 62443-3-3:2013 SR 7.6- ISO/IEC 27001:2013 A.12.1.2, A.12.5.1, A.12.6.2, A.14.2.2, A.14.2.3, A.14.2.4- NIST SP 800-53 Rev. 4 CM-3, CM-4, SA-10",P,
file,,Process,"> SAP applications and solution to be inventoried within the organization
",, 1,"<Do we need objective??>
",,,> Operations: Accountable.> Security:> Audit: Responsibility. Audit department needs to make sure that SAP application and solutions are inventoried and updated on a regular basis.,,> Operations: Accountable. Operations department responsible for making sure that all SAP applications and solution are inventoried and updated on a regular basis.> Security: Consulted. Security department is to advise the operations department for any updates in regards to application versioning and changes.> Audit: Informed. Audit department to be informed about the necessary changes for their own records.
